 2074309 | 16Bm07 Jan 27 03:03:44 17 | 17AP30 Nr0051_1  | 10:44:00.0  30:00:00 2000 | 300 | r | 1.02 | 0.50 0.53   687 |     OG1 |   OB151 |P 1 V Q R|
 2074310 | 16Bm07 Jan 27 03:09:29 17 | 17AP30 Nr0052_1  | 10:48:28.8  30:00:00 2000 | 300 | r | 1.02 | 0.48 0.51   685 |     OG1 |   OB154 |P 1 V Q R|
 2074311 | 16Bm07 Jan 27 03:11:54 17 | 17AP30 Nr0053_1  | 10:52:57.6  30:00:00 2000 | 100 | r | 1.02 | 0.49 0.52   229 |     OG1 |   OB157 |P 1 V Q R|
 2074312 | 16Bm07 Jan 27 03:14:19 17 | 17AP30 Nr0054_1  | 10:57:26.4  30:00:00 2000 | 100 | r | 1.02 | 0.53 0.55   228 |     OG1 |   OB160 |P 1 V Q R|
 2074313 | 16Bm07 Jan 27 03:16:44 17 | 17AP30 Nr0055_1  | 11:01:55.2  30:00:00 2000 | 100 | r | 1.02 | 0.50 0.52   226 |     OG1 |   OB163 |P 1 V Q R|
 2074314 | 16Bm07 Jan 27 03:21:53 17 | 17AP30 Nr0056_1  | 11:06:24.0  30:00:00 2000 | 100 | r | 1.02 | 0.48 0.51   225 |     OG1 |   OB166 |P 1 V Q R|
 2074315 | 16Bm07 Jan 27 03:24:18 17 | 17AP30 Nr0057_1  | 11:10:52.8  30:00:00 2000 | 100 | r | 1.02 | 0.45 0.48   225 |     OG1 |   OB169 |P 1 V Q R|
 2074316 | 16Bm07 Jan 27 03:29:35 17 | 17AP30 Nr0051_2  | 10:45:36.0  30:19:58 2000 | 272 | r | 1.03 | 0.48 0.50   627 |     OG2 |   OB152 |P 1 V Q R|
 2074317 | 16Bm07 Jan 27 03:34:50 17 | 17AP30 Nr0052_2  | 10:50:04.8  30:19:58 2000 | 270 | r | 1.03 | 0.47 0.49   610 |     OG2 |   OB155 |P 1 V Q R|
 2074318 | 16Bm07 Jan 27 03:40:16 17 | 17AP30 Nr0053_2  | 10:54:33.6  30:19:58 2000 | 279 | r | 1.03 | 0.49 0.52   621 |     OG2 |   OB158 |P 1 V Q R|
 2074319 | 16Bm07 Jan 27 03:45:34 17 | 17AP30 Nr0054_2  | 10:59:02.4  30:19:58 2000 | 273 | r | 1.03 | 0.49 0.52   605 |     OG2 |   OB161 |P 1 V Q R|
